                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.2418,                   3.21,                 1.1071,                 1.1961,                0.59032,                0.32346,                0.34782,                0.20971,                0.48118,                0.25663,                  0.224,                0.08757,                 1.0723,                 3.7973,                 1.1674,                 1.0637,             0.00026422,             0.00026422,             0.00026422
                     87,                 1.2335,                 3.2165,                 1.1073,                 1.1845,                0.59064,                0.32375,                0.34806,                0.20987,                0.48033,                0.25784,                0.22405,                0.08988,                 1.0697,                 3.7988,                  1.186,                 1.0558,             0.00024772,             0.00024772,             0.00024772
                     88,                 1.2307,                 3.2035,                 1.0984,                 1.1844,                0.58546,                0.32295,                0.34711,                0.21091,                0.48603,                0.24991,                0.21775,                0.08657,                  1.061,                 3.8253,                 1.1464,                 1.0485,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.2416,                 3.1941,                 1.1047,                   1.19,                0.55266,                0.32698,                0.34096,                0.20656,                0.46299,                0.25764,                0.21887,                0.08543,                 1.0659,                 3.8286,                 1.1616,                 1.0582,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.2544,                 3.2136,                 1.1156,                 1.1792,                0.59126,                0.32536,                0.34946,                0.21035,                0.47856,                0.25744,                0.22448,                0.08729,                 1.0658,                 3.8416,                 1.1709,                 1.0591,             0.00019821,             0.00019821,             0.00019821
                     91,                  1.348,                 3.1591,                  1.295,                 1.2103,                0.55527,                0.32757,                0.34528,                0.20741,                0.46132,                0.25563,                 0.2173,                0.08576,                 1.0507,                 3.8256,                 1.1365,                 1.0445,              0.0001817,              0.0001817,              0.0001817
                     92,                 1.3319,                 3.0718,                 1.2027,                 1.1977,                0.57562,                0.32134,                0.34775,                 0.2113,                0.48399,                0.25603,                0.22121,                0.08834,                 1.0346,                 3.8856,                 1.1113,                 1.0333,              0.0001652,              0.0001652,              0.0001652
                     93,                 1.3263,                 3.1038,                 1.2038,                 1.2001,                0.57998,                0.31873,                0.34506,                0.20966,                0.48203,                0.25864,                0.22067,                0.08682,                 1.0479,                 3.8488,                 1.1258,                 1.0452,              0.0001487,              0.0001487,              0.0001487
                     94,                 1.3183,                 3.0842,                 1.1981,                 1.1945,                0.57719,                0.32034,                0.34487,                0.20814,                0.47314,                0.25141,                0.21529,                0.08507,                 1.0433,                 3.8616,                  1.126,                 1.0346,             0.00013219,             0.00013219,             0.00013219
                     95,                   1.31,                 3.0689,                 1.1958,                 1.1828,                0.59288,                0.32235,                0.34939,                0.21113,                0.47436,                 0.2496,                 0.2127,                0.08455,                 1.0384,                 3.8776,                 1.1257,                 1.0309,             0.00011569,             0.00011569,             0.00011569
                     96,                 1.2956,                 3.0964,                 1.1747,                  1.181,                0.58722,                0.31763,                0.34571,                0.21137,                0.47755,                 0.2498,                0.21223,                0.08402,                 1.0433,                 3.8815,                 1.1261,                 1.0342,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 1.3089,                 3.0556,                  1.179,                 1.1924,                0.58395,                0.32416,                0.34767,                0.21059,                0.48728,                 0.2506,                0.21438,                0.08466,                 1.0311,                 3.9047,                 1.1207,                 1.0301,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 1.2855,                 3.0209,                 1.1721,                 1.1709,                0.58909,                0.31692,                0.34176,                0.20586,                0.47306,                  0.251,                0.21533,                0.08485,                   1.06,                 3.9652,                   1.16,                  1.053,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 1.2669,                 3.0467,                 1.1603,                 1.1651,                0.59594,                0.31922,                0.34418,                 0.2087,                0.48678,                0.25218,                0.21796,                0.08673,                 1.0465,                 3.9298,                  1.134,                 1.0416,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 1.3107,                 3.0475,                 1.1761,                 1.1864,                0.59216,                0.31994,                0.34652,                0.20953,                0.48545,                0.25221,                0.21782,                 0.0868,                 1.0441,                 3.9119,                 1.1351,                 1.0413,             3.3173e-05,             3.3173e-05,             3.3173e-05
